index,year,PICK,round,round_pick,TEAM,PLAYER,YEARS,TOTALS_G,TOTALS_MP,final_season,ADVANCED_WS,ADVANCED_WS/48,ADVANCED_BPM,ADVANCED_VORP,MVP_Votes,First_MVP,RotY_Votes,RotY,DPOY_Votes,First_DPOY,SMotY_Votes,First_SMotY,MIP_Votes,First_MIP,all_nba_votes,all_defense_votes,all_rookie_votes,all_first,all_second,all_third,all_races,def_first,def_second,mvp,rookie,retired,rookie_first,rookie_second,dcn_past_retirement,dcn_YEARS,dcn_TOTALS_G,dcn_TOTALS_MP,dcn_ADVANCED_WS,dcn_ADVANCED_WS/48,dcn_MVP_Votes,dcn_RotY_Votes,dcn_DPOY_Votes,dcn_SMotY_Votes,dcn_MIP_Votes,dcn_all_nba_votes,dcn_all_defense_votes,dcn_all_rookie_votes,pn_past_retirement,pn_YEARS,pn_TOTALS_G,pn_TOTALS_MP,pn_ADVANCED_WS,pn_ADVANCED_WS/48,pn_MVP_Votes,pn_RotY_Votes,pn_DPOY_Votes,pn_SMotY_Votes,pn_MIP_Votes,pn_all_nba_votes,pn_all_defense_votes,pn_all_rookie_votes,pn_YEARS_ma,dcn_YEARS_ma,pn_TOTALS_G_ma,dcn_TOTALS_G_ma,pn_TOTALS_MP_ma,dcn_TOTALS_MP_ma,pn_ADVANCED_WS_ma,dcn_ADVANCED_WS_ma,pn_ADVANCED_WS/48_ma,dcn_ADVANCED_WS/48_ma,pn_MVP_Votes_ma,dcn_MVP_Votes_ma,pn_RotY_Votes_ma,dcn_RotY_Votes_ma,pn_DPOY_Votes_ma,dcn_DPOY_Votes_ma,pn_SMotY_Votes_ma,dcn_SMotY_Votes_ma,pn_MIP_Votes_ma,dcn_MIP_Votes_ma,pn_all_nba_votes_ma,dcn_all_nba_votes_ma,pn_all_defense_votes_ma,dcn_all_defense_votes_ma,pn_all_rookie_votes_ma,dcn_all_rookie_votes_ma,rookie_first_ma,rookie_second_ma,dcn_past_retirement_ma,pn_past_retirement_ma,exists
0,1995,1,1,1,GSW,Joe Smith,16,1030.0,27022.0,2011,60.3,0.107,-1.5,3.0,0.0,0,15.0,0,0.0,0,0.0,0,8.0,0,0.0,0.0,54.0,,,,,,,,first,True,True,False,1,1.4954556180838896,1.5111976988323736,1.335193744158705,0.929015319012747,0.5290522958050153,0.0,-0.13013015836669173,0.0,0.0,-0.3531148060718515,0.0,0.0,1.314471348777097,1,0.990506545008748,1.0541749622838212,0.4939125422372053,0.004956506228583037,-0.2530125521884913,0.0,-1.3696770673564576,0.0,0.0,-0.5250934146647185,0.0,0.0,-0.5855609836050385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
58,1996,1,1,1,PHI,Allen Iverson,14,914.0,37584.0,2010,99.0,0.126,3.2,49.6,1926.0,2001,44.0,1997,40.0,0,0.0,0,0.0,0,1817.0,44.0,55.0,"1999,2005","2002,2003",2006,"1997,1998,1999,2002,2003,2004,2005,2006,2007",,,"1997,1999,2000,2001,2002,2003,2005,2006",first,True,True,False,1,0.9443496683693529,1.0273784077352144,1.758891187075599,1.5656573287925526,0.9003124045297322,0.28695815031942423,1.2114264635292982,-0.5503390834562123,0.0,0.0,0.4290567583415258,-0.2930658213398793,1.3115775327988268,1,0.6167304902884658,0.7496316392929779,1.2551418244653336,0.6237203483129771,0.07401047444969498,0.08553444095061781,-1.2340376910644986,-0.622196660078315,0.0,0.0,0.4177712200208168,-0.4969347927599194,-0.5733705539391762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
116,1997,1,1,1,SAS,Tim Duncan,19,1392.0,47368.0,2016,206.4,0.209,5.6,91.1,5238.0,2002,113.0,1998,553.0,0,0.0,0,0.0,0,6226.0,605.0,56.0,"1998,1999,2000,2001,2002,2004,2005,2007,2013","2006,2008,2009","2010,2015","1998,1999,2000,2001,2002,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016","1999,2000,2001,2002,2003,2005,2007,2008","1998,2004,2006,2009,2010,2013,2015","1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2012,2013,2014,2015",first,True,True,False,1,2.306074048065366,2.813351670615718,3.6012749766138987,4.9226877181885,2.129683346038636,1.4757203223006143,1.1541070145475025,1.788843354394574,0.0,0.0,1.6901777378643519,2.6455920715624788,1.574486373648836,1,1.5511706270891714,2.0045601598931766,1.9602987357813728,2.340909925570443,1.5025847487112451,1.1796434396344564,-0.9113095198870789,0.28435013899783573,0.0,0.0,2.9341008772227037,1.8181123908187435,-0.5611801242733141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
173,1998,1,1,1,LAC,Michael Olowokandi,9,500.0,13129.0,2007,2.5,0.009,-4.6,-8.5,0.0,0,0.0,0,0.0,0,0.0,0,4.0,0,2.0,0.0,22.0,,,,2002,,,,second,True,False,True,1,0.1635905326065008,0.14305150340114586,0.1414949334376839,-0.5566917096928737,-0.3346488383286913,0.0,0.0,0.0,0.0,-0.4225781967019526,-0.44022831904437093,0.0,-0.23032274070532052,0,-0.31770964651223976,-0.33727297896744546,-0.5073900915438385,-0.9191920744556024,-1.9397629001117678,0.0,0.0,0.0,0.0,-0.602733686093743,-0.6180959443750609,0.0,-0.9756547329126307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
231,1999,1,1,1,CHI,Elton Brand,17,1058.0,34910.0,2016,109.6,0.151,2.2,37.3,51.0,0,58.0,2000,3.0,0,0.0,0,11.0,0,359.0,4.0,56.0,,2006,,"2002,2003,2004,2005,2006,2007",,,"2002,2006",first,True,True,False,1,1.6983168331797724,1.5187365296207913,1.745680976443602,2.0991445799509587,1.2125210887516644,1.470768155083781,1.2900352749509656,-0.6052741663150429,0.0,-0.2533116316102074,2.1128357749083966,-0.5021046269174029,1.3238322634040518,1,1.1773945723688892,1.127685419557473,1.0624200766260972,0.7932008838709764,0.5043039305525715,-0.533866033847751,-1.1685566128545872,-0.6875811270682128,0.0,-0.46686321109295015,-0.41434686575835106,-0.6620005455997529,-0.5611801242733141,0.803618517648607,1.3215573400609764,0.9197558404120005,1.4027431620410487,0.852876617513234,1.716507163545898,0.5687191179054755,1.791962647250377,-0.022375259717349504,0.8873840593592714,0.14626236934746464,0.6466893255407639,-0.9367161782325244,0.7050877189322149,-0.20508552962973842,0.12664602092466376,0.0,0.0,-0.3189380623702823,-0.20580092687680232,0.4638858574220217,0.7583683904139806,0.13183541049181424,0.37008432466103935,-0.6513893038006947,1.058808955584698,0.8,0.2,1.0,0.8,1
289,2000,1,1,1,BRK,Kenyon Martin,15,757.0,23134.0,2015,48.0,0.1,0.1,12.1,0.0,0,36.0,0,9.0,0,0.0,0,3.0,0,2.0,26.0,54.0,,,,"2004,2005",,,,first,True,True,False,1,1.6087760429430313,1.218450332781111,1.6822934674926597,1.9212585625770453,0.7043444793005765,0.0,0.1971485794522456,0.8006407690254355,0.0,-0.5323185234996818,-0.5637004403031675,1.6767103466350013,1.8496155561197627,1,0.8036185176486069,0.3374480038657159,0.21369483258913086,-0.19170486993777472,-0.3734947198972966,0.0,-1.2714554500415907,-0.6769782405293104,0.0,-0.6221437539509992,-0.6180959443750609,-0.5712143815378444,-0.5855609836050385,0.7662409121765787,1.3442214250328048,0.7764104487283796,1.3441936888307962,0.7968330755836192,1.7859271082126889,0.5293868426722039,1.9904112959632365,-0.04647169325911057,0.9224424960583836,0.14626236934746464,0.6466893255407639,-0.9170718547695511,0.7705434664960024,-0.3404811777356005,0.28677417472975086,0.0,0.0,-0.33834813022753846,-0.24164167036236836,0.34026666854700954,0.6456283023533471,0.017592534184245355,0.7054263939880396,-0.6513893038006947,1.1658377970532314,0.8,0.2,1.0,0.8,1
347,2001,1,1,1,WAS,Kwame Brown,12,607.0,13389.0,2013,20.8,0.074,-2.4,-1.3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,2.0,,,,,,,,none,True,False,False,1,0.6661909400439496,0.3468590561610993,0.11491582327373391,-0.19591555891746232,0.2701235322908367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7709594584838178,1,0.24295443556818358,-0.05635801724313314,-0.4886512529356854,-0.626598319671509,-0.8209999142442884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2194633262298757,0.6914857012325223,1.2885896793677243,0.6152125174211573,1.208089818515973,0.44807446010341545,1.4571320354523156,0.27932310907530666,1.6380967184212334,-0.22547377099790725,0.7964047216106044,0.12915548115734107,0.5892976954768792,-0.6702643165566513,0.5282581737901427,-0.2160418457199375,0.39684199142099336,0.0,0.0,-0.3383481302275385,-0.24164167036236836,0.25671242454284615,0.559816950685042,0.11697949273622923,0.7640395582560154,-0.7806078582588346,0.7493303987967023,0.6,0.2,1.0,0.8,1
404,2002,1,1,1,HOU,Yao Ming,8,486.0,15818.0,2010,65.9,0.2,3.2,20.7,2.0,0,405.0,0,1.0,0,0.0,0,21.0,0,1019.0,7.0,56.0,,"2007,2009","2006,2008","2006,2007,2008,2009",,,"2004,2009",first,True,True,False,1,0.25707550854728606,0.3205761104574815,0.7181096855691556,1.78791292874923,2.5758264646978026,-0.6417376962540444,1.3565697746471124,-0.5193145163323752,0.0,-0.3275452290047306,1.2552751273038143,-0.2092192556959711,1.429269380415704,0,-0.5045976738723809,-0.37402820760427136,-0.3135872568618241,0.09449339293846964,1.34767910451421,-0.5500530329224816,0.4544386827767841,-0.6911154225811803,0.0,-0.27276253252038885,-0.037667896887122826,-0.6496206141367653,-0.5611801242733141,0.2803320410402118,0.878789971464108,0.13949484392166775,0.7095347064843258,-0.006702738425223997,0.880498977243367,-0.16996019745108798,1.0111417605333795,-0.2564548998373143,0.8856333453424377,-0.21678381335404656,0.16580609176594732,-0.3971146760238788,0.5687507258100648,-0.41113495803574074,-0.06478958272439654,0.0,0.0,-0.39290063673161624,-0.30715071616331446,-0.33764133027911913,0.4728364285729344,-0.37656710825487255,0.19307729280432548,-0.7806078582588346,0.720287000150076,0.6,0.2,1.0,0.6,1
461,2003,1,1,1,CLE,LeBron James,23,1597.0,60206.0,2026,274.1,0.219,8.4,158.0,10510.0,2009,508.0,2004,534.0,0,0.0,0,69.0,0,5659.0,486.0,56.0,"2008,2010,2014,2015,2016,2017,2018,2020","2021,2025","2019,2022,2023,2024","2004,2008,2010,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025","2009,2010,2011,2012,2013",2014,"2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2025",first,False,True,False,1,2.418280874537618,2.5611316709366045,3.5570665758804063,4.993593302419636,1.6033257241586827,1.4957374213123378,1.2294918518273776,1.9956210332874624,0.0,0.07310454334108685,2.730941337807338,3.124882957220233,1.5567030575997498,1,2.298722736529736,2.5427617220752703,2.885564928287026,3.4233469309738918,1.674702131152396,2.921232401307523,0.9361923296068454,0.25077433162464496,0.0,0.6589207246279055,2.610499399419694,1.3270417761202393,-0.5611801242733141,0.803618517648607,1.3297280398503315,0.7155017841302109,1.1931507399914174,0.6718882655409489,1.5636133057319115,0.6985476036348108,2.1211987629558817,0.46643810641551847,1.2732282578399126,0.36746266690745805,0.46495357602841486,-0.20987621010250965,0.8146490961755403,-0.36098009171081175,0.33433462393309593,0.0,0.0,-0.14056975458728654,-0.2080141681547066,0.30807773847983183,1.107070359943276,-0.11115875303082468,0.818053884248372,-0.6977129365309713,1.07769215981109,0.8,0.0,1.0,0.8,1
519,2004,1,1,1,ORL,Dwight Howard,18,1242.0,39457.0,2022,141.7,0.172,1.9,39.0,1522.0,0,161.0,0,1954.0,2009,1.0,0,14.0,0,2765.0,283.0,58.0,"2008,2009,2011,2012",2014,"2007,2013","2006,2007,2008,2009,2011,2012,2013,2014,2016,2018","2009,2010,2011,2012",2008,"2008,2009,2010,2011,2012",first,True,True,False,1,1.7420799459015373,2.0164933692708407,2.3803648042643792,3.646736621221143,1.7368631432670532,0.7071067811865475,-0.11999652260013931,2.6419465204269,-0.6157130974717223,-0.5423286142683612,2.833472075371303,0.9997779245692878,1.6886666809989328,1,1.3642825997290302,1.6107541387843278,1.3901335349002213,1.3064391094758614,0.8657504336789877,-0.04792571468593738,-0.6868029660245261,2.760124145831534,-0.7071067811865476,-0.40863300752118176,0.9588191934903991,0.48933308045808493,-0.5367992649415896,0.8409961231206353,1.3384806623946843,0.8121155279755818,1.2927021079214274,0.7374309571957738,1.690550071296067,0.8011952487557877,2.4307171712099183,0.5387274070408017,1.3780966687429903,0.46465073073982077,0.3122213012489682,-0.11352548073649744,0.5326427366653192,0.32856096286913766,0.9837787612814847,-0.1414213562373095,-0.12314261949434446,-0.12892371387293283,-0.2658175646863373,0.582710950329582,1.2511976200358574,0.11910797218074287,1.1184303945457101,-0.6928367646646263,1.1506590433300663,0.8,0.0,1.0,0.8,1
